Fund,Bank Name,City_x,State_x,Closing Date_x,City_y,State_y,Closing Date_y,Population,Total Housing Units,Owner Occupied Units,Owner Occupied Rate,Bachelors or higher,Census Year
10538,Almena State Bank,Almena,KS,2020-10-23,Almena,KS,2020-10-23,12349,,,,,2020
10537,First City Bank of Florida,Fort Walton Beach,FL,2020-10-16,Fort Walton Beach,FL,2020-10-16,212237,108537.0,44824.0,0.4129835908492035,0.087,2020
10536,The First State Bank,Barboursville,WV,2020-04-03,Barboursville,WV,2020-04-03,205764,92241.0,45703.0,0.4954738131633438,0.054,2020
10535,Ericson State Bank,Ericson,NE,2020-02-14,Ericson,NE,2020-02-14,35301,,,,,2020
10167,"First Federal Bank of California, F.S.B.",Santa Monica,CA,2009-12-18,Santa Monica,CA,2009-12-18,439041,197039.0,100527.0,0.5101883383492608,0.044,2010
10161,Imperial Capital Bank,La Jolla,CA,2009-12-18,La Jolla,CA,2009-12-18,1445632,601370.0,285182.0,0.4742205297903121,0.047,2010
10166,Independent Bankers' Bank,Springfield,IL,2009-12-18,Springfield,IL,2009-12-18,208453,75120.0,49293.0,0.6561900958466453,0.033,2010
10163,New South Federal Savings Bank,Irondale,AL,2009-12-18,Irondale,AL,2009-12-18,1819,704.0,415.0,0.5894886363636364,0.134,2010
10162,Citizens State Bank,New Baltimore,MI,2009-12-18,New Baltimore,MI,2009-12-18,1320994,466114.0,282615.0,0.6063216294726183,0.213,2010
10165,Peoples First Community Bank,Panama City,FL,2009-12-18,Panama City,FL,2009-12-18,65870,24860.0,9266.0,0.37272727272727274,0.043,2010
10164,RockBridge Commercial Bank,Atlanta,GA,2009-12-18,Atlanta,GA,2009-12-18,1445632,601370.0,285182.0,0.4742205297903121,0.047,2010
10160,SolutionsBank,Overland Park,KS,2009-12-11,Overland Park,KS,2009-12-11,63522,,,,,2010
10159,"Valley Capital Bank, N.A.",Mesa,AZ,2009-12-11,Mesa,AZ,2009-12-11,89736,48665.0,12399.0,0.254782698037604,0.424,2010
10158,"Republic Federal Bank, N.A.",Miami,FL,2009-12-11,Miami,FL,2009-12-11,1307402,514366.0,224874.0,0.4371867502906491,0.337,2010
10156,Greater Atlantic Bank,Reston,VA,2009-12-04,Reston,VA,2009-12-04,106433,43995.0,22894.0,0.5203773156040459,0.267,2010
10154,Benchmark Bank,Aurora,IL,2009-12-04,Aurora,IL,2009-12-04,1307402,514366.0,224874.0,0.4371867502906491,0.337,2010
10155,AmTrust Bank,Cleveland,OH,2009-12-04,Cleveland,OH,2009-12-04,347483,118727.0,64761.0,0.545461436741432,0.194,2010
10153,The Tattnall Bank,Reidsville,GA,2009-12-04,Reidsville,GA,2009-12-04,805235,376777.0,123128.0,0.32679277132096707,0.299,2010
10157,First Security National Bank,Norcross,GA,2009-12-04,Norcross,GA,2009-12-04,805235,376777.0,123128.0,0.32679277132096707,0.299,2010
10152,The Buckhead Community Bank,Atlanta,GA,2009-12-04,Atlanta,GA,2009-12-04,3792621,1421938.0,493028.0,0.34672960424434823,0.261,2010
10151,Commerce Bank of Southwest Florida,Fort Myers,FL,2009-11-20,Fort Myers,FL,2009-11-20,100097,33732.0,21602.0,0.6404008063559824,0.209,2010
10150,Pacific Coast National Bank,San Clemente,CA,2009-11-13,San Clemente,CA,2009-11-13,165269,58385.0,36141.0,0.6190117324655305,0.216,2010
10149,Orion Bank,Naples,FL,2009-11-13,Naples,FL,2009-11-13,3792621,1421938.0,493028.0,0.34672960424434823,0.35,2010
10148,"Century Bank, F.S.B.",Sarasota,FL,2009-11-13,Sarasota,FL,2009-11-13,212375,81468.0,38163.0,0.468441596700545,0.498,2010
10147,United Commercial Bank,San Francisco,CA,2009-11-06,San Francisco,CA,2009-11-06,23058,,,,,2010
10146,Gateway Bank of St. Louis,St. Louis,MO,2009-11-06,St. Louis,MO,2009-11-06,149058,40136.0,18756.0,0.46731114211680286,0.16,2010
10143,Prosperan Bank,Oakdale,MN,2009-11-06,Oakdale,MN,2009-11-06,68747,25797.0,15209.0,0.5895646780633407,0.363,2010
10144,Home Federal Savings Bank,Detroit,MI,2009-11-06,Detroit,MI,2009-11-06,38883,,,,,2010
10145,United Security Bank,Sparta,GA,2009-11-06,Sparta,GA,2009-11-06,78958,26577.0,9944.0,0.3741581066335553,0.144,2010
10138,North Houston Bank,Houston,TX,2009-10-30,Houston,TX,2009-10-30,416427,180535.0,97971.0,0.5426703963220428,0.044,2010
10142,Madisonville State Bank,Madisonville,TX,2009-10-30,Madisonville,TX,2009-10-30,117083,45454.0,25716.0,0.5657587891054693,0.396,2010
10141,Citizens National Bank,Teague,TX,2009-10-30,Teague,TX,2009-10-30,20922,9246.0,5664.0,0.6125892277741726,0.254,2010
10140,Park National Bank,Chicago,IL,2009-10-30,Chicago,IL,2009-10-30,106595,48618.0,26404.0,0.5430910362417212,0.029,2010
10139,Pacific National Bank,San Francisco,CA,2009-10-30,San Francisco,CA,2009-10-30,3792621,1421938.0,493028.0,0.34672960424434823,0.35,2010
10134,California National Bank,Los Angeles,CA,2009-10-30,Los Angeles,CA,2009-10-30,85186,44244.0,21476.0,0.4853991501672543,0.564,2010
10135,San Diego National Bank,San Diego,CA,2009-10-30,San Diego,CA,2009-10-30,137122,55124.0,22874.0,0.41495537334010596,0.391,2010
10137,Community Bank of Lemont,Lemont,IL,2009-10-30,Lemont,IL,2009-10-30,92889,36306.0,19402.0,0.5344020272131328,0.066,2010
10136,"Bank USA, N.A.",Phoenix,AZ,2009-10-30,Phoenix,AZ,2009-10-30,85186,,,,,2010
10128,First DuPage Bank,Westmont,IL,2009-10-23,Westmont,IL,2009-10-23,51917,,,,,2010
10133,Riverview Community Bank,Otsego,MN,2009-10-23,Otsego,MN,2009-10-23,49546,,,,,2010
10132,Bank of Elmwood,Racine,WI,2009-10-23,Racine,WI,2009-10-23,19537,,,,,2010
10129,Flagship National Bank,Bradenton,FL,2009-10-23,Bradenton,FL,2009-10-23,36484,,,,,2010
