Fund,Bank Name,City_x,State_x,Closing Date_x,City_y,State_y,Closing Date_y,Population,Total Housing Units,Owner Occupied Units,Owner Occupied Rate,Bachelors or higher,Census Year,lat,lng,State_FullName
10538,Almena State Bank,Almena,KS,10/23/20,Almena,KS,10/23/20,12349,,,,,2020,45.4149,-92.0384,Kansas
10537,First City Bank of Florida,Fort Walton Beach,FL,10/16/20,Fort Walton Beach,FL,10/16/20,212237,108537,44824,0.412983591,0.087,2020,30.4255,-86.6222,Florida
10536,The First State Bank,Barboursville,WV,4/3/20,Barboursville,WV,4/3/20,205764,92241,45703,0.495473813,0.054,2020,38.4067,-82.2964,West Virginia
10535,Ericson State Bank,Ericson,NE,2/14/20,Ericson,NE,2/14/20,35301,,,,,2020,41.7803,-98.6785,Nebraska
10167,"First Federal Bank of California, F.S.B.",Santa Monica,CA,12/18/09,Santa Monica,CA,12/18/09,439041,197039,100527,0.510188338,0.044,2010,34.0235,-118.481,California
10161,Imperial Capital Bank,La Jolla,CA,12/18/09,La Jolla,CA,12/18/09,1445632,601370,285182,0.47422053,0.047,2010,#N/A,#N/A,California
10166,Independent Bankers' Bank,Springfield,IL,12/18/09,Springfield,IL,12/18/09,208453,75120,49293,0.656190096,0.033,2010,42.1155,-72.5395,Illinois
10163,New South Federal Savings Bank,Irondale,AL,12/18/09,Irondale,AL,12/18/09,1819,704,415,0.589488636,0.134,2010,33.5439,-86.6606,Alabama
10162,Citizens State Bank,New Baltimore,MI,12/18/09,New Baltimore,MI,12/18/09,1320994,466114,282615,0.606321629,0.213,2010,42.6904,-82.7398,Michigan
10165,Peoples First Community Bank,Panama City,FL,12/18/09,Panama City,FL,12/18/09,65870,24860,9266,0.372727273,0.043,2010,30.1995,-85.6003,Florida
10164,RockBridge Commercial Bank,Atlanta,GA,12/18/09,Atlanta,GA,12/18/09,1445632,601370,285182,0.47422053,0.047,2010,33.7628,-84.422,Georgia
10160,SolutionsBank,Overland Park,KS,12/11/09,Overland Park,KS,12/11/09,63522,,,,,2010,38.887,-94.687,Kansas
10159,"Valley Capital Bank, N.A.",Mesa,AZ,12/11/09,Mesa,AZ,12/11/09,89736,48665,12399,0.254782698,0.424,2010,33.4015,-111.7178,Arizona
10158,"Republic Federal Bank, N.A.",Miami,FL,12/11/09,Miami,FL,12/11/09,1307402,514366,224874,0.43718675,0.337,2010,25.784,-80.2101,Florida
10156,Greater Atlantic Bank,Reston,VA,12/4/09,Reston,VA,12/4/09,106433,43995,22894,0.520377316,0.267,2010,38.9497,-77.3461,Virginia
10154,Benchmark Bank,Aurora,IL,12/4/09,Aurora,IL,12/4/09,1307402,514366,224874,0.43718675,0.337,2010,39.7083,-104.7237,Illinois
10155,AmTrust Bank,Cleveland,OH,12/4/09,Cleveland,OH,12/4/09,347483,118727,64761,0.545461437,0.194,2010,41.4764,-81.6805,Oklahoma
10153,The Tattnall Bank,Reidsville,GA,12/4/09,Reidsville,GA,12/4/09,805235,376777,123128,0.326792771,0.299,2010,36.3376,-79.6725,Georgia
10157,First Security National Bank,Norcross,GA,12/4/09,Norcross,GA,12/4/09,805235,376777,123128,0.326792771,0.299,2010,33.9379,-84.2065,Georgia
10152,The Buckhead Community Bank,Atlanta,GA,12/4/09,Atlanta,GA,12/4/09,3792621,1421938,493028,0.346729604,0.261,2010,33.7628,-84.422,Georgia
10151,Commerce Bank of Southwest Florida,Fort Myers,FL,11/20/09,Fort Myers,FL,11/20/09,100097,33732,21602,0.640400806,0.209,2010,26.6194,-81.8302,Florida
10150,Pacific Coast National Bank,San Clemente,CA,11/13/09,San Clemente,CA,11/13/09,165269,58385,36141,0.619011732,0.216,2010,33.4499,-117.6102,California
10149,Orion Bank,Naples,FL,11/13/09,Naples,FL,11/13/09,3792621,1421938,493028,0.346729604,0.35,2010,26.1504,-81.7936,Florida
10148,"Century Bank, F.S.B.",Sarasota,FL,11/13/09,Sarasota,FL,11/13/09,212375,81468,38163,0.468441597,0.498,2010,27.3387,-82.5432,Florida
10147,United Commercial Bank,San Francisco,CA,11/6/09,San Francisco,CA,11/6/09,23058,,,,,2010,37.7558,-122.4449,California
10146,Gateway Bank of St. Louis,St. Louis,MO,11/6/09,St. Louis,MO,11/6/09,149058,40136,18756,0.467311142,0.16,2010,38.6359,-90.2451,Missouri
10143,Prosperan Bank,Oakdale,MN,11/6/09,Oakdale,MN,11/6/09,68747,25797,15209,0.589564678,0.363,2010,44.9876,-92.9641,Minnesota
10144,Home Federal Savings Bank,Detroit,MI,11/6/09,Detroit,MI,11/6/09,38883,,,,,2010,42.3834,-83.1024,Michigan
10145,United Security Bank,Sparta,GA,11/6/09,Sparta,GA,11/6/09,78958,26577,9944,0.374158107,0.144,2010,43.9377,-90.8131,Georgia
10138,North Houston Bank,Houston,TX,10/30/09,Houston,TX,10/30/09,416427,180535,97971,0.542670396,0.044,2010,29.786,-95.3885,Texas
10142,Madisonville State Bank,Madisonville,TX,10/30/09,Madisonville,TX,10/30/09,117083,45454,25716,0.565758789,0.396,2010,37.3409,-87.5034,Texas
10141,Citizens National Bank,Teague,TX,10/30/09,Teague,TX,10/30/09,20922,9246,5664,0.612589228,0.254,2010,31.6296,-96.2802,Texas
10140,Park National Bank,Chicago,IL,10/30/09,Chicago,IL,10/30/09,106595,48618,26404,0.543091036,0.029,2010,41.8375,-87.6866,Illinois
10139,Pacific National Bank,San Francisco,CA,10/30/09,San Francisco,CA,10/30/09,3792621,1421938,493028,0.346729604,0.35,2010,37.7558,-122.4449,California
10134,California National Bank,Los Angeles,CA,10/30/09,Los Angeles,CA,10/30/09,85186,44244,21476,0.48539915,0.564,2010,34.1141,-118.4068,California
10135,San Diego National Bank,San Diego,CA,10/30/09,San Diego,CA,10/30/09,137122,55124,22874,0.414955373,0.391,2010,32.8313,-117.1222,California
10137,Community Bank of Lemont,Lemont,IL,10/30/09,Lemont,IL,10/30/09,92889,36306,19402,0.534402027,0.066,2010,41.6695,-87.9838,Illinois
10136,"Bank USA, N.A.",Phoenix,AZ,10/30/09,Phoenix,AZ,10/30/09,85186,,,,,2010,33.5722,-112.0892,Arizona
10128,First DuPage Bank,Westmont,IL,10/23/09,Westmont,IL,10/23/09,51917,,,,,2010,33.9417,-118.3018,Illinois
10133,Riverview Community Bank,Otsego,MN,10/23/09,Otsego,MN,10/23/09,49546,,,,,2010,45.266,-93.6201,Minnesota
10132,Bank of Elmwood,Racine,WI,10/23/09,Racine,WI,10/23/09,19537,,,,,2010,42.7274,-87.8135,Wisconsin
10129,Flagship National Bank,Bradenton,FL,10/23/09,Bradenton,FL,10/23/09,36484,,,,,2010,27.4901,-82.5757,Florida
10131,Hillcrest Bank Florida,Naples,FL,10/23/09,Naples,FL,10/23/09,399457,188150,47978,0.254998671,0.147,2010,26.1504,-81.7936,Florida
10127,American United Bank,Lawrenceville,GA,10/23/09,Lawrenceville,GA,10/23/09,19537,,,,,2010,33.9523,-83.9932,Georgia
10130,Partners Bank,Naples,FL,10/23/09,Naples,FL,10/23/09,62298,36926,9690,0.262416725,0.068,2010,26.1504,-81.7936,Florida
10126,San Joaquin Bank,Bakersfield,CA,10/16/09,Bakersfield,CA,10/16/09,19537,,,,,2010,35.3529,-119.0359,California
10123,Southern Colorado National Bank,Pueblo,CO,10/2/09,Pueblo,CO,10/2/09,20748,,,,,2010,38.2701,-104.6114,Colorado
10124,Jennings State Bank,Spring Grove,MN,10/2/09,Spring Grove,MN,10/2/09,55156,,,,,2010,42.4545,-88.2399,Minnesota
10125,Warren Bank,Warren,MI,10/2/09,Warren,MI,10/2/09,20748,,,,,2010,42.4934,-83.027,Michigan
10122,Georgian Bank,Atlanta,GA,9/25/09,Atlanta,GA,9/25/09,46780,,,,,2010,33.7628,-84.422,Georgia
10121,"Irwin Union Bank, F.S.B.",Louisville,KY,9/18/09,Louisville,KY,9/18/09,56315,,,,,2010,38.1663,-85.6485,Kentucky
10120,Irwin Union Bank and Trust Company,Columbus,IN,9/18/09,Columbus,IN,9/18/09,154305,74370,39396,0.52972973,0.098,2010,39.9862,-82.9855,Indiana
